2025-07-13 14:59:48,815 | __main__ | INFO | Starting TCAP v3 Automated Trading System
2025-07-13 15:06:27,847 | market_scanner | INFO | Scanned 487 pairs, 7 candidates found
2025-07-13 15:06:27,847 | market_scanner | INFO | Top candidates:
2025-07-13 15:06:27,848 | market_scanner | INFO |    1. AUCTIONUSDT: +23.3% (Vol: $220.3M)
2025-07-13 15:06:27,848 | market_scanner | INFO |    2. 1INCHUSDT: +22.6% (Vol: $182.8M)
2025-07-13 15:06:27,848 | market_scanner | INFO |    3. PUMPUSDT: +21.3% (Vol: $1322.9M)
2025-07-13 15:06:27,849 | market_scanner | INFO |    4. OCEANUSDT: +18.9% (Vol: $65.8M)
2025-07-13 15:06:27,849 | market_scanner | INFO |    5. AGIXUSDT: +18.8% (Vol: $113.7M)
2025-07-13 15:06:37,332 | __main__ | INFO | Starting continuous monitoring system...
2025-07-13 15:06:37,333 | __main__ | INFO | Starting continuous monitoring...
2025-07-13 15:06:37,333 | __main__ | INFO | TCAP v3 is now running continuously in the background
2025-07-13 15:06:37,334 | __main__ | INFO | Press Ctrl+C to stop the system
2025-07-13 15:06:42,347 | __main__ | INFO | Auto-updating trading system...
2025-07-13 15:06:43,238 | __main__ | INFO | Continuous update cycle completed
2025-07-13 15:07:13,243 | __main__ | INFO | Auto-updating trading system...
2025-07-13 15:07:13,273 | __main__ | INFO | Continuous update cycle completed
2025-07-13 15:07:43,284 | __main__ | INFO | Auto-updating trading system...
2025-07-13 15:07:43,306 | __main__ | INFO | Continuous update cycle completed
2025-07-13 15:08:13,318 | __main__ | INFO | Auto-updating trading system...
2025-07-13 15:08:13,357 | __main__ | INFO | Continuous update cycle completed
2025-07-13 15:08:23,982 | __main__ | INFO | Cleaning up resources...
